,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Rape+Kidnap,Urban,Population,crimes/population
3772,GUJARAT,AHMEDABAD COMMR.,2006,5.7075918788908565e-06,1.8115400311262283e-05,192,1,8059441,2.3822992190153137e-05
8393,GUJARAT,SURAT COMMR.,2012,8.968609865470853e-06,1.4798206278026906e-05,106,1,4460000,2.3766816143497757e-05
1099,MAHARASHTRA,PUNE COMMR.,2002,1.6346153846153847e-05,7.051282051282051e-06,73,1,3120000,2.3397435897435897e-05
4535,GUJARAT,SURAT COMMR.,2007,5.381165919282511e-06,1.7937219730941705e-05,104,1,4460000,2.3318385650224214e-05
6040,GUJARAT,SURAT COMMR.,2009,6.278026905829596e-06,1.6591928251121077e-05,102,1,4460000,2.286995515695067e-05
4512,GUJARAT,AHMEDABAD COMMR.,2007,4.590889119977427e-06,1.8239478395585996e-05,184,1,8059441,2.2830367515563426e-05
1818,MAHARASHTRA,NAGPUR COMMR.,2003,1.078838174273859e-05,1.2033195020746888e-05,55,1,2410000,2.2821576763485476e-05
5255,GUJARAT,AHMEDABAD COMMR.,2008,5.459435710243428e-06,1.6998697552348856e-05,181,1,8059441,2.245813326259228e-05
8813,TAMIL NADU,CHENNAI,2012,1.3258110014104373e-05,9.16784203102962e-06,159,1,7090000,2.2425952045133992e-05
1828,MAHARASHTRA,PUNE COMMR.,2003,1.282051282051282e-05,8.653846153846155e-06,67,1,3120000,2.1474358974358974e-05
3062,GUJARAT,SURAT COMMR.,2005,5.1569506726457395e-06,1.6143497757847534e-05,95,1,4460000,2.1300448430493272e-05
3039,GUJARAT,AHMEDABAD COMMR.,2005,4.3427329513299995e-06,1.687461946802514e-05,171,1,8059441,2.121735241935514e-05
7829,MAHARASHTRA,MUMBAI COMMR.,2011,1.2010869565217392e-05,9.021739130434782e-06,387,1,18400000,2.1032608695652175e-05
5116,ANDHRA PRADESH,HYDERABAD CITY,2008,9.104258443465492e-06,1.130690161527166e-05,139,1,6810000,2.041116005873715e-05
8630,MAHARASHTRA,MUMBAI COMMR.,2012,1.2608695652173914e-05,7.663043478260869e-06,373,1,18400000,2.0271739130434784e-05
2900,ANDHRA PRADESH,HYDERABAD CITY,2005,9.838472834067547e-06,1.0279001468428782e-05,137,1,6810000,2.011747430249633e-05
2306,GUJARAT,AHMEDABAD COMMR.,2004,4.963123372948571e-06,1.513752628749314e-05,162,1,8059441,2.0100649660441712e-05
4373,ANDHRA PRADESH,HYDERABAD CITY,2007,8.516886930983848e-06,1.0866372980910426e-05,132,1,6810000,1.9383259911894274e-05
139,GUJARAT,AHMEDABAD COMMR.,2001,4.839045288624856e-06,1.451713586587457e-05,156,1,8059441,1.9356181154499424e-05
6813,GUJARAT,SURAT COMMR.,2010,5.1569506726457395e-06,1.4125560538116592e-05,86,1,4460000,1.9282511210762333e-05
8971,WEST BENGAL,KOLKATA,2012,4.563758389261745e-06,1.4093959731543624e-05,278,1,14900000,1.865771812080537e-05
102,BIHAR,PATNA,2001,1.3170731707317074e-05,5.365853658536585e-06,38,1,2050000,1.853658536585366e-05
7044,MAHARASHTRA,MUMBAI COMMR.,2010,1.0543478260869566e-05,7.934782608695651e-06,340,1,18400000,1.8478260869565216e-05
5504,MAHARASHTRA,MUMBAI COMMR.,2008,1.1847826086956522e-05,6.304347826086957e-06,334,1,18400000,1.8152173913043477e-05
1443,ANDHRA PRADESH,HYDERABAD CITY,2003,8.370044052863436e-06,9.397944199706314e-06,121,1,6810000,1.7767988252569752e-05
3278,MAHARASHTRA,MUMBAI,2005,1.0923913043478262e-05,6.630434782608696e-06,323,1,18400000,1.7554347826086955e-05
2171,ANDHRA PRADESH,HYDERABAD CITY,2004,8.223201174743025e-06,9.104258443465492e-06,118,1,6810000,1.7327459618208515e-05
723,ANDHRA PRADESH,HYDERABAD CITY,2002,8.370044052863436e-06,8.95741556534508e-06,118,1,6810000,1.7327459618208515e-05
8011,TAMIL NADU,CHENNAI,2011,1.0719322990126939e-05,5.7827926657263755e-06,117,1,7090000,1.6502115655853315e-05
2544,MAHARASHTRA,MUMBAI,2004,1.016304347826087e-05,6.141304347826087e-06,300,1,18400000,1.6304347826086955e-05
4754,MAHARASHTRA,MUMBAI COMMR.,2007,9.456521739130434e-06,6.521739130434783e-06,294,1,18400000,1.5978260869565216e-05
4012,MAHARASHTRA,MUMBAI COMMR.,2006,8.967391304347825e-06,7.0108695652173915e-06,294,1,18400000,1.5978260869565216e-05
2329,GUJARAT,SURAT COMMR.,2004,5.381165919282511e-06,1.053811659192825e-05,71,1,4460000,1.5919282511210763e-05
8215,ANDHRA PRADESH,HYDERABAD CITY,2012,1.0866372980910426e-05,4.552129221732746e-06,105,1,6810000,1.5418502202643173e-05
5877,ANDHRA PRADESH,HYDERABAD CITY,2009,6.901615271659325e-06,8.076358296622613e-06,102,1,6810000,1.4977973568281939e-05
4926,TAMIL NADU,CHENNAI,2007,6.488011283497884e-06,8.321579689703809e-06,105,1,7090000,1.4809590973201692e-05
1601,GUJARAT,SURAT COMMR.,2003,5.605381165919282e-06,8.968609865470853e-06,65,1,4460000,1.4573991031390135e-05
6269,MAHARASHTRA,MUMBAI COMMR.,2009,9.891304347826088e-06,4.6739130434782605e-06,268,1,18400000,1.4565217391304348e-05
7424,ANDHRA PRADESH,HYDERABAD CITY,2011,8.663729809104258e-06,5.7268722466960354e-06,98,1,6810000,1.4390602055800294e-05
1578,GUJARAT,AHMEDABAD COMMR.,2003,2.2334055178268567e-06,1.1911496095076569e-05,114,1,8059441,1.4144901612903425e-05
855,GUJARAT,AHMEDABAD COMMR.,2002,1.488937011884571e-06,1.1415183757781713e-05,104,1,8059441,1.2904120769666283e-05
6645,ANDHRA PRADESH,HYDERABAD CITY,2010,6.607929515418502e-06,6.020558002936858e-06,86,1,6810000,1.262848751835536e-05
