,States/UTs,District,Year,Rape,Custodial Rape,Custodial_Gang Rape,Custodial_Other Rape,Rape other than Custodial,Rape_Gang Rape,Rape_Others,Attempt to commit Rape,Kidnapping & Abduction_Total,Kidnaping & Abduction,Kidnaping & Abduction in order to Murder,Kidnapping for Ransom,Kidnapping & Abduction of Women to compel her for marriage,Kidnaping & Abduction_Others,Dowry Deaths,Assault on Women with intent to outrage her Modesty_Total,Sexual Harassment,Assault on women with intent to Disrobe,Voyeurism,Stalking,Others,Insult to the Modesty of Women_Total,At Office premises,In places related to work,In Public Transport system,In other Places,Cruelty by Husband or his Relatives,Importation of Girls from Foreign Country,Murder,Attempt to commit Murder,Culpable Homicide not amounting to Murder,Attempt to commit Culpable Homicide,Grievous Hurt,Hurt,Acid attack,Attempt to Acid Attack,Deaths caused with intent to cause miscarriage,Causing miscarriage without consent of women,Dacoity_Total,Dacoity with Murder,Other Dacoity,Robbery,Arson,HumanTrafficking,Abetment of Suicides of Women,UnNatural Offences,Other IPC Crimes,"Dowry Prohibition Act, 1961","Indecent Representation of Women (P) Act, 1986","Commission of Sati Prevention Act, 1987","Protection of Women from Domestic Violence Act, 2005",Immoral Traffic Prevention Act,ITP Under Section 5,ITP Under Section 6,ITP Under Section 7,ITP Under Section 8,ITP Under Other Sections,Other SLL Crimes against Women,Total Crimes against Women
707,Uttar Pradesh,G. R. P.,2014,5,0,0,0,5,1,4,0,21,9,3,0,7,2,1,64,15,1,3,45,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,473,0,0,0,0,0,0,0,0,0,0,2,576
708,Uttar Pradesh,Gautambudh Nagar,2014,54,7,3,4,47,2,45,8,150,135,0,0,15,0,35,161,121,14,2,24,0,7,0,0,0,7,198,0,18,2,2,0,3,2,1,0,0,0,0,0,0,15,0,0,1,0,150,0,0,0,0,0,0,0,0,0,0,53,857
709,Uttar Pradesh,Ghaziabad,2014,118,14,0,14,104,13,91,0,391,85,42,0,264,0,38,283,164,40,1,59,19,3,0,0,0,3,575,0,28,2,3,0,6,3,1,2,0,0,0,0,0,2,0,0,1,0,263,0,0,0,0,1,1,0,0,0,0,101,1815
710,Uttar Pradesh,Ghazipur,2014,24,1,0,1,23,3,20,0,102,0,0,0,102,0,31,69,20,11,1,6,31,0,0,0,0,0,67,0,12,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0,0,0,0,0,56,379
711,Uttar Pradesh,Gonda,2014,37,0,0,0,37,3,34,5,126,0,0,0,97,29,28,56,17,5,1,2,31,0,0,0,0,0,12,0,8,0,4,0,39,39,0,0,0,0,0,0,0,2,0,0,2,0,0,106,0,0,0,0,0,0,0,0,0,54,479
712,Uttar Pradesh,Gorakhpur,2014,92,22,0,22,70,2,68,0,271,0,0,0,256,15,58,132,78,13,1,40,0,0,0,0,0,0,223,0,29,0,7,0,11,11,0,0,0,0,0,0,0,5,0,0,7,0,120,0,0,0,0,2,0,0,0,0,2,3,960
713,Uttar Pradesh,Hamirpur,2014,29,13,1,12,16,2,14,0,55,0,0,0,55,0,26,97,75,18,1,3,0,1,0,0,1,0,42,0,5,0,3,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,25,2,0,0,0,0,0,0,0,0,0,0,293
714,Uttar Pradesh,Hapur,2014,46,8,0,8,38,7,31,1,69,69,0,0,0,0,16,62,21,25,1,3,12,0,0,0,0,0,70,0,11,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,11,338
715,Uttar Pradesh,Hardoi,2014,39,0,0,0,39,39,0,2,162,0,1,0,161,0,40,93,2,0,0,1,90,0,0,0,0,0,140,0,18,0,5,0,2,2,0,0,0,0,0,0,0,3,0,0,0,0,38,40,0,0,0,0,0,0,0,0,0,62,644
716,Uttar Pradesh,Hathras,2014,60,0,0,0,60,17,43,5,127,32,0,0,95,0,24,121,52,57,4,8,0,1,0,0,1,0,103,0,21,0,5,0,17,16,1,0,0,0,0,0,0,0,0,0,7,0,77,42,0,0,0,0,0,0,0,0,0,62,672
717,Uttar Pradesh,Jalaun,2014,12,9,0,9,3,0,3,0,54,0,0,0,43,11,30,44,15,4,0,1,24,0,0,0,0,0,41,0,13,0,1,0,4,4,0,0,0,0,0,0,0,1,0,1,0,0,41,0,0,0,0,0,0,0,0,0,0,30,272
718,Uttar Pradesh,Jaunpur,2014,50,0,0,0,50,3,47,0,125,0,0,0,125,0,47,62,21,3,0,6,32,0,0,0,0,0,49,0,14,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,37,417
719,Uttar Pradesh,Jhansi,2014,28,0,0,0,28,1,27,2,84,74,0,0,8,2,33,85,29,8,1,16,31,0,0,0,0,0,119,0,17,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,8,0,104,1,0,0,0,3,3,0,0,0,0,64,552
720,Uttar Pradesh,Kannauj,2014,22,0,0,0,22,1,21,0,92,0,0,0,92,0,31,98,6,7,0,6,79,0,0,0,0,0,89,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,105,0,0,0,0,0,0,0,0,0,0,59,510
721,Uttar Pradesh,Kanpur Dehat,2014,20,0,0,0,20,0,20,0,151,0,0,0,151,0,35,95,0,0,0,0,95,0,0,0,0,0,144,0,17,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,0,512
722,Uttar Pradesh,Kanpur Nagar,2014,78,0,0,0,78,6,72,6,413,0,0,0,137,276,73,261,122,60,6,73,0,1,0,0,0,1,594,0,38,0,11,0,1,0,0,1,0,0,0,0,0,34,0,0,21,0,330,11,0,0,0,3,3,0,0,0,0,48,1923
723,Uttar Pradesh,Kasganj,2014,19,0,0,0,19,4,15,0,96,96,0,0,0,0,29,58,33,12,3,10,0,0,0,0,0,0,21,0,3,6,2,0,3,3,0,0,0,0,0,0,0,0,0,0,4,0,30,0,0,0,0,0,0,0,0,0,0,27,298
724,Uttar Pradesh,Kaushambi,2014,14,10,0,10,4,1,3,1,81,0,0,0,81,0,27,120,113,5,1,1,0,0,0,0,0,0,86,0,9,0,2,0,15,15,0,0,0,0,0,0,0,0,0,0,4,0,62,33,0,0,1,0,0,0,0,0,0,0,455
725,Uttar Pradesh,Khiri,2014,49,0,0,0,49,3,46,0,195,39,4,0,152,0,51,107,0,0,0,0,107,0,0,0,0,0,135,0,17,11,5,1,16,16,0,0,0,0,0,0,0,1,0,0,0,0,145,6,0,0,0,1,0,1,0,0,0,120,860
726,Uttar Pradesh,Kushi Nagar,2014,22,0,0,0,22,0,22,0,136,3,0,0,88,45,31,53,48,5,0,0,0,0,0,0,0,0,50,0,11,2,3,0,102,102,0,0,0,0,0,0,0,0,0,0,7,0,135,23,0,0,0,1,1,0,0,0,0,43,619
727,Uttar Pradesh,Lalitpur,2014,25,6,0,6,19,3,16,0,27,0,0,0,27,0,12,38,26,8,1,3,0,0,0,0,0,0,19,0,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8,0,23,0,0,0,0,2,0,2,0,0,0,34,197
728,Uttar Pradesh,Lucknow,2014,68,0,0,0,68,3,65,2,370,280,0,0,90,0,52,392,277,40,2,73,0,0,0,0,0,0,1083,0,29,10,1,2,16,15,1,0,0,0,0,0,0,6,0,0,0,0,345,0,1,0,0,3,3,0,0,0,0,160,2540
729,Uttar Pradesh,Maharajganj,2014,32,0,0,0,32,4,28,0,100,0,0,0,100,0,26,29,12,4,0,2,11,0,0,0,0,0,68,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,45,0,0,0,0,0,0,0,0,0,0,4,319
730,Uttar Pradesh,Mahoba,2014,22,0,0,0,22,6,16,0,52,0,0,0,52,0,14,62,26,3,0,1,32,1,0,0,1,0,22,0,8,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,4,0,29,0,0,0,0,0,0,0,0,0,0,6,222
731,Uttar Pradesh,Mainpuri,2014,23,0,0,0,23,0,23,1,127,0,0,0,127,0,37,69,0,0,0,0,69,0,0,0,0,0,74,0,17,0,9,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,29,0,0,0,0,0,0,0,0,0,0,20,414
732,Uttar Pradesh,Mathura,2014,73,0,0,0,73,10,63,0,158,158,0,0,0,0,48,114,14,2,1,6,91,0,0,0,0,0,267,0,15,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,9,0,160,0,0,0,0,0,0,0,0,0,0,23,869
733,Uttar Pradesh,Mau,2014,25,0,0,0,25,3,22,3,84,0,0,0,84,0,16,51,11,6,0,4,30,1,0,0,0,1,81,0,5,2,1,0,59,59,0,0,0,0,0,0,0,0,1,0,0,0,39,75,0,0,0,0,0,0,0,0,0,9,452
734,Uttar Pradesh,Meerut,2014,93,1,0,1,92,32,60,0,293,0,0,0,293,0,53,412,179,44,0,56,133,0,0,0,0,0,520,0,44,0,5,0,6,5,0,1,0,0,0,0,0,27,0,0,0,0,120,0,0,0,0,3,0,3,0,0,0,156,1732
735,Uttar Pradesh,Mirzapur,2014,19,0,0,0,19,3,16,0,12,0,0,0,12,0,26,10,10,0,0,0,0,0,0,0,0,0,28,0,3,0,2,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,15,155
736,Uttar Pradesh,Moradabad,2014,89,0,0,0,89,21,68,0,166,9,0,0,10,147,36,189,104,59,0,26,0,1,0,1,0,0,403,0,23,0,0,0,5,0,3,2,0,0,0,0,0,0,0,0,0,0,284,0,0,0,0,0,0,0,0,0,0,129,1325
737,Uttar Pradesh,Muzaffarnagar,2014,37,0,0,0,37,17,20,17,194,0,0,0,194,0,17,148,51,35,4,14,44,0,0,0,0,0,168,0,31,2,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,155,0,0,0,0,0,0,0,0,0,0,81,855
738,Uttar Pradesh,Pilibhit,2014,69,0,0,0,69,6,63,11,121,12,0,0,109,0,25,107,15,7,0,2,83,0,0,0,0,0,179,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,108,179,0,0,0,0,0,0,0,0,0,78,896
739,Uttar Pradesh,Pratapgarh,2014,68,6,0,6,62,13,49,2,172,0,0,1,147,24,21,165,125,32,0,8,0,0,0,0,0,0,184,0,13,13,0,0,116,115,1,0,0,0,0,0,0,1,2,0,3,0,173,0,0,0,0,0,0,0,0,0,0,0,933
740,Uttar Pradesh,Raibareilly,2014,48,0,0,0,48,0,48,1,111,0,0,0,111,0,27,69,0,1,0,2,66,0,0,0,0,0,38,0,11,4,5,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,55,48,0,0,0,0,0,0,0,0,0,76,500
741,Uttar Pradesh,Rampur,2014,34,0,0,0,34,0,34,0,94,94,0,0,0,0,18,54,54,0,0,0,0,0,0,0,0,0,121,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,89,0,0,0,0,1,1,0,0,0,0,8,437
742,Uttar Pradesh,Saharanpur,2014,73,2,0,2,71,17,54,7,220,0,0,0,220,0,28,167,64,32,2,25,44,0,0,0,0,0,194,0,11,14,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,103,946
743,Uttar Pradesh,Sambhal,2014,48,0,0,0,48,23,25,0,124,7,0,0,117,0,26,72,64,5,0,3,0,0,0,0,0,0,106,0,15,0,7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,409
744,Uttar Pradesh,Sant Kabirnagar,2014,23,0,0,0,23,5,18,0,39,2,0,0,37,0,11,25,22,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,30,29,0,1,0,0,0,0,0,0,0,0,0,0,47,19,0,0,0,1,1,0,0,0,0,32,232
745,Uttar Pradesh,Shahjahanpur,2014,83,0,0,0,83,4,79,0,193,0,0,0,193,0,61,181,176,5,0,0,0,1,0,1,0,0,127,0,17,0,6,0,1,0,1,0,0,0,0,0,0,2,0,0,6,0,23,0,0,0,0,2,0,2,0,0,0,123,826
746,Uttar Pradesh,Shamli,2014,32,0,0,0,32,14,18,11,78,78,0,0,0,0,18,58,43,8,0,7,0,0,0,0,0,0,87,0,4,4,2,0,7,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,302
747,Uttar Pradesh,Shrawasti,2014,5,0,0,0,5,1,4,0,35,0,0,0,35,0,9,31,6,2,0,0,23,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,9,106
748,Uttar Pradesh,Sidharthnagar,2014,20,0,0,0,20,3,17,0,57,0,0,0,57,0,20,27,24,1,0,2,0,0,0,0,0,0,46,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,36,257
749,Uttar Pradesh,Sitapur,2014,74,0,0,0,74,0,74,0,214,0,0,0,214,0,46,163,155,0,0,0,8,0,0,0,0,0,180,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,133,923
750,Uttar Pradesh,Sonbhadra,2014,26,4,0,4,22,0,22,1,20,0,0,0,20,0,6,24,21,2,0,1,0,0,0,0,0,0,13,0,10,0,5,0,20,19,1,0,0,0,0,0,0,1,0,0,2,0,44,11,0,0,0,0,0,0,0,0,0,12,195
751,Uttar Pradesh,St.Ravidasnagar,2014,19,0,0,0,19,1,18,0,33,0,0,0,33,0,23,12,11,1,0,0,0,0,0,0,0,0,41,0,4,0,1,0,6,6,0,0,0,0,0,0,0,0,0,0,2,0,28,41,0,0,0,0,0,0,0,0,0,10,220
752,Uttar Pradesh,Sultanpur,2014,46,2,0,2,44,4,40,3,141,0,0,0,141,0,21,67,58,6,0,3,0,0,0,0,0,0,68,0,12,0,4,0,8,8,0,0,0,0,0,0,0,6,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,34,479
753,Uttar Pradesh,Unnao,2014,69,7,1,6,62,12,50,0,235,0,0,0,235,0,31,237,35,21,0,0,181,0,0,0,0,0,218,0,25,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,139,1053
754,Uttar Pradesh,Varanasi,2014,47,4,0,4,43,4,39,5,144,0,0,0,144,0,42,176,124,27,1,24,0,3,0,0,0,3,275,0,14,7,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,98,890
755,Uttar Pradesh,Total,2014,3467,189,5,184,3278,573,2705,324,10626,2621,68,1,7338,598,2469,8605,4435,1066,75,835,2194,29,0,2,3,24,10471,0,1177,150,210,9,747,692,42,13,0,15,4,3,1,249,7,3,239,9,7589,2133,1,0,66,37,21,10,0,0,6,3773,52409
