,States/UTs,District,Year,Rape,Custodial Rape,Custodial_Gang Rape,Custodial_Other Rape,Rape other than Custodial,Rape_Gang Rape,Rape_Others,Attempt to commit Rape,Kidnapping & Abduction_Total,Kidnaping & Abduction,Kidnaping & Abduction in order to Murder,Kidnapping for Ransom,Kidnapping & Abduction of Women to compel her for marriage,Kidnaping & Abduction_Others,Dowry Deaths,Assault on Women with intent to outrage her Modesty_Total,Sexual Harassment,Assault on women with intent to Disrobe,Voyeurism,Stalking,Others,Insult to the Modesty of Women_Total,At Office premises,In places related to work,In Public Transport system,In other Places,Cruelty by Husband or his Relatives,Importation of Girls from Foreign Country,Murder,Attempt to commit Murder,Culpable Homicide not amounting to Murder,Attempt to commit Culpable Homicide,Grievous Hurt,Hurt,Acid attack,Attempt to Acid Attack,Deaths caused with intent to cause miscarriage,Causing miscarriage without consent of women,Dacoity_Total,Dacoity with Murder,Other Dacoity,Robbery,Arson,HumanTrafficking,Abetment of Suicides of Women,UnNatural Offences,Other IPC Crimes,"Dowry Prohibition Act, 1961","Indecent Representation of Women (P) Act, 1986","Commission of Sati Prevention Act, 1987","Protection of Women from Domestic Violence Act, 2005",Immoral Traffic Prevention Act,ITP Under Section 5,ITP Under Section 6,ITP Under Section 7,ITP Under Section 8,ITP Under Other Sections,Other SLL Crimes against Women,Total Crimes against Women
428,Maharashtra,Nanded,2014,43,0,0,0,43,2,41,0,53,0,0,0,40,13,6,147,147,0,0,0,0,3,0,0,0,3,180,0,26,17,2,0,2,2,0,0,0,0,1,0,1,13,0,0,32,0,135,0,0,0,0,0,0,0,0,0,0,0,660
429,Maharashtra,Nandurbar,2014,25,0,0,0,25,3,22,0,17,1,0,0,16,0,2,36,8,8,0,4,16,4,0,0,0,4,47,0,14,4,2,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,23,0,0,0,0,1,0,0,0,0,1,5,184
430,Maharashtra,Nasik Commr.,2014,28,0,0,0,28,2,26,0,33,29,0,0,3,1,3,101,47,15,0,7,32,3,0,0,0,3,200,1,7,11,0,0,12,12,0,0,0,0,1,0,1,74,0,0,18,0,286,0,0,0,0,2,1,0,0,0,1,7,787
431,Maharashtra,Nasik Rural,2014,87,0,0,0,87,5,82,0,85,28,0,0,57,0,17,224,171,2,1,11,39,5,0,3,0,2,383,0,26,16,1,0,63,63,0,0,0,0,2,0,2,17,0,0,10,0,246,0,0,0,0,0,0,0,0,0,0,25,1207
432,Maharashtra,Navi Mumbai,2014,88,0,0,0,88,4,84,0,63,62,0,0,0,1,6,158,30,9,3,24,92,49,1,0,2,46,131,0,20,4,1,0,11,11,0,0,0,0,1,0,1,312,0,0,11,0,411,1,0,0,0,22,15,0,5,2,0,15,1304
433,Maharashtra,Osmanabad,2014,43,0,0,0,43,2,41,0,21,8,0,0,12,1,5,126,46,6,1,10,63,5,0,0,0,5,117,0,13,12,0,0,0,0,0,0,0,0,1,1,0,5,0,0,1,2,20,0,0,0,2,1,1,0,0,0,0,0,374
434,Maharashtra,Palghar,2014,98,0,0,0,98,3,95,0,65,28,0,0,4,33,1,183,28,6,3,9,137,22,0,0,0,22,73,0,24,3,3,0,20,19,1,0,0,0,2,0,2,48,0,0,16,1,71,0,0,0,0,0,0,0,0,0,0,1,631
435,Maharashtra,Parbhani,2014,38,0,0,0,38,3,35,0,27,2,1,0,12,12,5,140,68,6,0,8,58,2,0,0,0,2,251,0,19,18,1,0,16,16,0,0,0,0,2,0,2,12,4,0,25,0,280,0,0,0,0,0,0,0,0,0,0,4,844
436,Maharashtra,Pune Commr.,2014,189,0,0,0,189,3,186,0,124,55,0,0,47,22,20,454,110,6,2,38,298,98,0,6,0,92,391,0,27,21,2,0,35,34,0,1,0,0,53,0,53,494,3,0,5,3,1492,0,0,0,0,38,17,0,0,0,21,19,3468
437,Maharashtra,Pune Railway,2014,2,0,0,0,2,0,2,0,2,2,0,0,0,0,1,5,1,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,236
438,Maharashtra,Pune Rural,2014,147,0,0,0,147,1,146,1,102,100,0,0,0,2,13,356,59,13,1,38,245,48,0,0,0,48,219,0,47,28,0,0,41,41,0,0,0,0,0,0,0,50,0,0,57,0,619,0,0,0,0,4,4,0,0,0,0,11,1743
439,Maharashtra,Raigad,2014,47,0,0,0,47,2,45,1,27,27,0,0,0,0,2,99,42,2,0,10,45,15,0,0,0,15,54,0,6,1,0,0,11,11,0,0,0,0,0,0,0,44,1,0,0,0,232,0,0,0,0,0,0,0,0,0,0,0,540
