,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls
3543,UTTAR PRADESH,PRATAPGARH,2005,15,33,23,17,4,51,0
3544,UTTAR PRADESH,RAIBAREILLY,2005,26,41,18,47,27,167,0
3545,UTTAR PRADESH,RAMPUR,2005,17,29,13,22,3,4,0
3546,UTTAR PRADESH,SAHARANPUR,2005,15,25,19,35,74,119,0
3547,UTTAR PRADESH,SANT KABIRNAGAR,2005,3,16,6,2,15,11,0
3548,UTTAR PRADESH,SHAHJAHANPUR,2005,26,37,25,40,25,22,0
3549,UTTAR PRADESH,SHRAWASTI,2005,6,13,6,5,7,8,0
3550,UTTAR PRADESH,SIDHARTHNAGAR,2005,4,19,12,13,40,13,0
3551,UTTAR PRADESH,SITAPUR,2005,51,86,70,72,31,142,0
3552,UTTAR PRADESH,SONBHADRA,2005,8,5,10,6,20,11,0
3553,UTTAR PRADESH,ST.RAVIDASNAGAR,2005,1,2,8,3,17,31,0
3554,UTTAR PRADESH,SULTANPUR,2005,16,24,14,14,21,38,0
3555,UTTAR PRADESH,UNNAO,2005,35,43,40,47,32,72,0
3556,UTTAR PRADESH,VARANASI,2005,8,19,19,8,43,44,0
3557,UTTAR PRADESH,TOTAL,2005,1217,2256,1564,1835,2881,4505,0
4226,UTTAR PRADESH,AGRA,2006,26,134,63,133,152,351,0
4227,UTTAR PRADESH,ALIGARH,2006,49,90,50,43,39,179,0
4228,UTTAR PRADESH,ALLAHABAD,2006,22,64,46,40,46,156,0
4229,UTTAR PRADESH,AMBEDKAR NAGAR,2006,10,42,15,20,14,83,0
4230,UTTAR PRADESH,AURAIYA,2006,10,25,22,13,6,22,0
4231,UTTAR PRADESH,AZAMGARH,2006,13,20,29,13,24,68,0
4232,UTTAR PRADESH,BADAUN,2006,29,42,33,38,11,34,0
4233,UTTAR PRADESH,BAGHPAT,2006,12,27,12,11,24,60,0
4234,UTTAR PRADESH,BAHRAICH,2006,21,33,24,25,15,35,0
4235,UTTAR PRADESH,BALLIA,2006,10,8,11,8,14,20,0
4236,UTTAR PRADESH,BALRAMPUR,2006,8,11,9,11,3,15,0
4237,UTTAR PRADESH,BANDA,2006,15,9,17,20,6,15,0
4238,UTTAR PRADESH,BARABANKI,2006,21,49,25,41,48,67,0
4239,UTTAR PRADESH,BAREILLY,2006,45,81,31,70,64,196,0
4240,UTTAR PRADESH,BASTI,2006,10,15,12,8,21,30,0
4241,UTTAR PRADESH,BIJNOR,2006,25,46,18,25,75,105,0
4242,UTTAR PRADESH,BULANDSHAHAR,2006,27,49,33,63,150,102,0
4243,UTTAR PRADESH,CHANDOLI,2006,3,12,12,5,41,41,0
4244,UTTAR PRADESH,CHITRAKOOT DHAM,2006,13,3,9,9,0,8,0
4245,UTTAR PRADESH,DEORIA,2006,5,14,23,8,2,23,0
4246,UTTAR PRADESH,ETAH,2006,28,26,46,26,31,55,0
4247,UTTAR PRADESH,ETAWAH,2006,10,36,30,18,22,30,0
4248,UTTAR PRADESH,FAIZABAD,2006,14,28,12,18,24,54,0
4249,UTTAR PRADESH,FATEHGARH,2006,9,24,37,10,9,30,0
4250,UTTAR PRADESH,FATEHPUR,2006,9,20,27,14,21,18,0
4251,UTTAR PRADESH,FIROZABAD,2006,16,57,35,29,38,106,0
4252,UTTAR PRADESH,G.R.P.,2006,1,3,0,18,24,0,0
4253,UTTAR PRADESH,GAUTAMBUDH NAGAR,2006,26,31,13,35,57,59,0
4254,UTTAR PRADESH,GHAZIABAD,2006,29,86,41,26,93,190,0
4255,UTTAR PRADESH,GHAZIPUR,2006,8,11,22,8,17,33,0
4256,UTTAR PRADESH,GONDA,2006,22,35,28,27,23,7,0
4257,UTTAR PRADESH,GORAKHPUR,2006,23,39,16,24,45,70,0
4258,UTTAR PRADESH,HAMIRPUR,2006,8,5,12,16,7,11,0
4259,UTTAR PRADESH,HARDOI,2006,30,37,35,55,26,53,0
4260,UTTAR PRADESH,HATHRAS,2006,23,30,22,50,28,64,0
4261,UTTAR PRADESH,J.P.NAGAR,2006,21,23,14,22,57,46,0
4262,UTTAR PRADESH,JALAUN,2006,4,20,36,31,18,46,0
4263,UTTAR PRADESH,JAUNPUR,2006,18,21,46,26,34,83,0
4264,UTTAR PRADESH,JHANSI,2006,8,6,21,19,45,18,0
4265,UTTAR PRADESH,KANNAUJ,2006,6,34,19,31,20,41,0
4266,UTTAR PRADESH,KANPUR DEHAT,2006,16,25,50,40,18,41,0
4267,UTTAR PRADESH,KANPUR NAGAR,2006,27,87,67,64,179,273,0
4268,UTTAR PRADESH,KAUSHAMBI,2006,15,14,17,12,19,26,0
4269,UTTAR PRADESH,KHIRI,2006,39,60,60,47,42,35,0
4270,UTTAR PRADESH,KUSHI NAGAR,2006,9,17,24,15,19,20,0
4271,UTTAR PRADESH,LALITPUR,2006,7,10,9,16,11,35,0
4272,UTTAR PRADESH,LUCKNOW,2006,51,164,39,100,160,374,0
4273,UTTAR PRADESH,MAHARAJGANJ,2006,21,19,12,17,22,13,0
4274,UTTAR PRADESH,MAHOBA,2006,3,7,9,3,9,9,0
4275,UTTAR PRADESH,MAINPURI,2006,16,24,35,12,8,28,0
4276,UTTAR PRADESH,MATHURA,2006,30,39,25,66,43,126,0
4277,UTTAR PRADESH,MAU,2006,7,23,10,8,38,18,0
4278,UTTAR PRADESH,MEERUT,2006,37,85,21,74,91,246,0
4279,UTTAR PRADESH,MIRZAPUR,2006,14,10,22,11,9,53,0
4280,UTTAR PRADESH,MORADABAD,2006,44,83,23,69,142,243,0
4281,UTTAR PRADESH,MUZAFFARNAGAR,2006,31,91,39,46,88,172,0
4282,UTTAR PRADESH,PILIBHIT,2006,13,20,16,39,37,45,0
4283,UTTAR PRADESH,PRATAPGARH,2006,30,50,30,30,14,108,0
4284,UTTAR PRADESH,RAIBAREILLY,2006,21,35,23,40,28,170,0
4285,UTTAR PRADESH,RAMPUR,2006,11,37,13,32,4,4,0
4286,UTTAR PRADESH,SAHARANPUR,2006,15,29,16,42,48,175,0
4287,UTTAR PRADESH,SANT KABIRNAGAR,2006,4,18,7,7,23,25,0
4288,UTTAR PRADESH,SHAHJAHANPUR,2006,21,37,34,21,25,8,0
4289,UTTAR PRADESH,SHRAWASTI,2006,6,16,16,12,10,0,0
4290,UTTAR PRADESH,SIDHARTHNAGAR,2006,4,28,15,12,58,19,0
4291,UTTAR PRADESH,SITAPUR,2006,47,68,58,68,34,83,0
4292,UTTAR PRADESH,SONBHADRA,2006,8,3,10,14,32,9,0
4293,UTTAR PRADESH,ST.RAVIDASNAGAR,2006,2,4,9,6,14,19,0
4294,UTTAR PRADESH,SULTANPUR,2006,25,26,23,21,23,55,0
4295,UTTAR PRADESH,UNNAO,2006,37,40,37,35,26,58,0
4296,UTTAR PRADESH,VARANASI,2006,16,36,23,10,46,90,0
4297,UTTAR PRADESH,TOTAL,2006,1314,2551,1798,2096,2714,5204,0
4969,UTTAR PRADESH,AGRA,2007,30,149,78,82,107,380,0
4970,UTTAR PRADESH,ALIGARH,2007,50,96,70,74,37,237,0
4971,UTTAR PRADESH,ALLAHABAD,2007,26,81,63,40,48,207,0
4972,UTTAR PRADESH,AMBEDKAR NAGAR,2007,15,24,8,10,17,139,0
4973,UTTAR PRADESH,AURAIYA,2007,9,26,34,17,10,29,0
4974,UTTAR PRADESH,AZAMGARH,2007,11,29,29,15,26,55,0
4975,UTTAR PRADESH,BADAUN,2007,11,40,31,29,18,25,0
4976,UTTAR PRADESH,BAGHPAT,2007,17,27,22,10,22,60,0
4977,UTTAR PRADESH,BAHRAICH,2007,34,44,28,20,25,37,0
4978,UTTAR PRADESH,BALLIA,2007,10,18,13,10,10,11,0
4979,UTTAR PRADESH,BALRAMPUR,2007,10,17,10,12,4,38,0
4980,UTTAR PRADESH,BANDA,2007,15,12,16,49,14,14,0
4981,UTTAR PRADESH,BARABANKI,2007,25,63,35,28,34,106,0
4982,UTTAR PRADESH,BAREILLY,2007,62,95,54,97,99,235,0
4983,UTTAR PRADESH,BASTI,2007,10,22,13,8,39,51,0
4984,UTTAR PRADESH,BIJNOR,2007,27,48,26,33,75,188,0
4985,UTTAR PRADESH,BULANDSHAHAR,2007,44,93,36,75,120,227,0
4986,UTTAR PRADESH,CHANDOLI,2007,6,12,22,8,34,63,0
4987,UTTAR PRADESH,CHITRAKOOT DHAM,2007,23,2,7,14,1,13,0
4988,UTTAR PRADESH,DEORIA,2007,2,17,25,8,3,25,0
4989,UTTAR PRADESH,ETAH,2007,39,66,56,48,22,77,0
4990,UTTAR PRADESH,ETAWAH,2007,14,54,28,31,37,115,0
4991,UTTAR PRADESH,FAIZABAD,2007,23,32,17,23,37,54,0
4992,UTTAR PRADESH,FATEHGARH,2007,21,41,24,32,16,79,0
4993,UTTAR PRADESH,FATEHPUR,2007,22,38,33,29,21,61,0
4994,UTTAR PRADESH,FIROZABAD,2007,28,69,56,58,51,155,0
4995,UTTAR PRADESH,G.R.P.,2007,2,3,2,12,23,0,0
4996,UTTAR PRADESH,GAUTAMBUDH NAGAR,2007,17,64,14,41,51,73,0
4997,UTTAR PRADESH,GHAZIABAD,2007,33,108,37,30,85,204,0
4998,UTTAR PRADESH,GHAZIPUR,2007,10,10,22,11,23,68,0
4999,UTTAR PRADESH,GONDA,2007,13,33,35,18,9,10,0
5000,UTTAR PRADESH,GORAKHPUR,2007,19,51,23,22,76,83,0
5001,UTTAR PRADESH,HAMIRPUR,2007,8,7,9,16,5,5,0
5002,UTTAR PRADESH,HARDOI,2007,33,38,42,45,26,57,0
5003,UTTAR PRADESH,HATHRAS,2007,16,50,17,48,26,179,0
5004,UTTAR PRADESH,J.P.NAGAR,2007,28,34,12,34,34,85,0
5005,UTTAR PRADESH,JALAUN,2007,8,19,32,42,37,43,0
5006,UTTAR PRADESH,JAUNPUR,2007,24,33,47,28,44,71,0
5007,UTTAR PRADESH,JHANSI,2007,10,13,28,38,55,20,0
5008,UTTAR PRADESH,KANNAUJ,2007,6,26,13,32,9,108,0
5009,UTTAR PRADESH,KANPUR DEHAT,2007,13,52,37,51,17,114,0
5010,UTTAR PRADESH,KANPUR NAGAR,2007,46,222,59,102,165,673,0
5011,UTTAR PRADESH,KAUSHAMBI,2007,30,36,35,27,16,72,0
5012,UTTAR PRADESH,KHIRI,2007,47,72,57,48,25,67,0
5013,UTTAR PRADESH,KUSHI NAGAR,2007,9,25,18,17,60,40,0
5014,UTTAR PRADESH,LALITPUR,2007,10,9,14,16,29,28,0
5015,UTTAR PRADESH,LUCKNOW,2007,82,216,57,98,159,513,0
5016,UTTAR PRADESH,MAHARAJGANJ,2007,23,23,18,18,23,74,0
5017,UTTAR PRADESH,MAHOBA,2007,10,11,12,21,14,13,0
5018,UTTAR PRADESH,MAINPURI,2007,11,46,48,32,22,54,0
5019,UTTAR PRADESH,MATHURA,2007,36,45,26,62,50,250,0
5020,UTTAR PRADESH,MAU,2007,8,26,14,21,32,35,0
5021,UTTAR PRADESH,MEERUT,2007,39,109,38,63,163,405,0
5022,UTTAR PRADESH,MIRZAPUR,2007,10,4,28,13,11,43,0
5023,UTTAR PRADESH,MORADABAD,2007,58,97,34,83,115,212,0
5024,UTTAR PRADESH,MUZAFFARNAGAR,2007,37,100,34,56,72,277,0
5025,UTTAR PRADESH,PILIBHIT,2007,23,31,18,38,18,38,0
5026,UTTAR PRADESH,PRATAPGARH,2007,16,43,27,32,20,107,0
5027,UTTAR PRADESH,RAIBAREILLY,2007,31,39,31,53,38,142,0
5028,UTTAR PRADESH,RAMPUR,2007,40,54,18,50,13,10,0
5029,UTTAR PRADESH,SAHARANPUR,2007,14,34,16,36,77,194,0
5030,UTTAR PRADESH,SANT KABIRNAGAR,2007,9,20,7,13,16,34,0
5031,UTTAR PRADESH,SHAHJAHANPUR,2007,52,69,56,84,43,13,0
5032,UTTAR PRADESH,SHRAWASTI,2007,10,9,4,12,5,24,0
5033,UTTAR PRADESH,SIDHARTHNAGAR,2007,5,24,9,13,33,45,0
5034,UTTAR PRADESH,SITAPUR,2007,67,84,61,69,20,119,0
5035,UTTAR PRADESH,SONBHADRA,2007,16,8,11,21,35,23,0
5036,UTTAR PRADESH,ST.RAVIDASNAGAR,2007,1,5,14,9,2,29,0
5037,UTTAR PRADESH,SULTANPUR,2007,34,47,21,30,13,57,0
5038,UTTAR PRADESH,UNNAO,2007,30,61,52,37,26,61,0
5039,UTTAR PRADESH,VARANASI,2007,20,38,35,20,120,197,0
5040,UTTAR PRADESH,TOTAL,2007,1648,3363,2076,2522,2882,7650,0
5724,UTTAR PRADESH,AGRA,2008,42,183,77,123,109,479,0
5725,UTTAR PRADESH,ALIGARH,2008,62,124,58,37,74,213,0
5726,UTTAR PRADESH,ALLAHABAD,2008,49,124,68,91,55,259,0
5727,UTTAR PRADESH,AMBEDKAR NAGAR,2008,18,45,13,20,20,133,0
5728,UTTAR PRADESH,AURAIYA,2008,11,27,12,7,14,36,0
5729,UTTAR PRADESH,AZAMGARH,2008,24,56,35,17,35,86,0
5730,UTTAR PRADESH,BADAUN,2008,11,41,32,27,47,25,0
5731,UTTAR PRADESH,BAGHPAT,2008,19,43,15,16,8,61,0
5732,UTTAR PRADESH,BAHRAICH,2008,24,62,27,24,22,37,0
5733,UTTAR PRADESH,BALLIA,2008,12,27,20,15,12,43,0
5734,UTTAR PRADESH,BALRAMPUR,2008,12,20,5,12,10,13,0
5735,UTTAR PRADESH,BANDA,2008,35,26,36,70,19,67,0
5736,UTTAR PRADESH,BARABANKI,2008,23,82,47,34,54,110,0
5737,UTTAR PRADESH,BAREILLY,2008,46,121,47,110,89,202,0
5738,UTTAR PRADESH,BASTI,2008,7,18,15,5,15,24,0
5739,UTTAR PRADESH,BIJNOR,2008,30,80,19,52,53,249,0
5740,UTTAR PRADESH,BULANDSHAHAR,2008,28,60,29,51,74,151,0
5741,UTTAR PRADESH,CHANDOLI,2008,4,9,19,10,19,91,0
5742,UTTAR PRADESH,CHITRAKOOT DHAM,2008,22,5,17,21,0,17,0
5743,UTTAR PRADESH,DEORIA,2008,15,13,36,6,17,27,0
5744,UTTAR PRADESH,ETAH,2008,20,66,34,41,17,71,0
5745,UTTAR PRADESH,ETAWAH,2008,19,64,28,43,29,108,0
5746,UTTAR PRADESH,FAIZABAD,2008,23,56,18,26,43,86,0
5747,UTTAR PRADESH,FATEHGARH,2008,23,41,26,35,56,84,0
5748,UTTAR PRADESH,FATEHPUR,2008,16,42,41,32,15,67,0
5749,UTTAR PRADESH,FIROZABAD,2008,27,78,41,43,77,77,0
5750,UTTAR PRADESH,G.R.P.,2008,2,8,0,18,38,0,0
5751,UTTAR PRADESH,GAUTAMBUDH NAGAR,2008,22,49,25,19,53,68,0
5752,UTTAR PRADESH,GHAZIABAD,2008,30,138,39,30,83,202,0
5753,UTTAR PRADESH,GHAZIPUR,2008,6,22,33,17,15,64,0
5754,UTTAR PRADESH,GONDA,2008,27,44,43,39,10,12,0
5755,UTTAR PRADESH,GORAKHPUR,2008,46,117,43,30,43,216,0
5756,UTTAR PRADESH,HAMIRPUR,2008,9,19,13,13,5,10,0
5757,UTTAR PRADESH,HARDOI,2008,42,60,50,67,30,68,0
5758,UTTAR PRADESH,HATHRAS,2008,17,37,27,43,18,92,0
5759,UTTAR PRADESH,J.P.NAGAR,2008,20,34,16,26,37,40,0
5760,UTTAR PRADESH,JALAUN,2008,6,30,37,34,24,47,0
5761,UTTAR PRADESH,JAUNPUR,2008,19,41,44,38,39,161,0
5762,UTTAR PRADESH,JHANSI,2008,7,18,26,24,46,11,0
5763,UTTAR PRADESH,KANNAUJ,2008,11,36,31,27,9,91,0
5764,UTTAR PRADESH,KANPUR DEHAT,2008,26,56,31,64,24,185,0
5765,UTTAR PRADESH,KANPUR NAGAR,2008,72,227,86,136,578,632,0
5766,UTTAR PRADESH,KANSHIRAM NAGAR,2008,19,29,30,31,5,31,0
5767,UTTAR PRADESH,KAUSHAMBI,2008,26,42,26,59,12,117,0
5768,UTTAR PRADESH,KHIRI,2008,58,91,48,74,29,88,0
5769,UTTAR PRADESH,KUSHI NAGAR,2008,6,14,14,8,6,24,0
5770,UTTAR PRADESH,LALITPUR,2008,16,9,10,11,14,40,0
5771,UTTAR PRADESH,LUCKNOW,2008,82,331,62,226,340,778,0
5772,UTTAR PRADESH,MAHARAJGANJ,2008,17,26,14,12,14,37,0
5773,UTTAR PRADESH,MAHOBA,2008,12,21,17,24,15,30,0
5774,UTTAR PRADESH,MAINPURI,2008,9,65,38,20,9,40,0
5775,UTTAR PRADESH,MATHURA,2008,24,62,31,64,65,222,0
5776,UTTAR PRADESH,MAU,2008,19,44,12,29,44,74,0
5777,UTTAR PRADESH,MEERUT,2008,50,123,37,73,165,326,0
5778,UTTAR PRADESH,MIRZAPUR,2008,19,19,24,16,6,133,0
5779,UTTAR PRADESH,MORADABAD,2008,75,163,38,117,114,139,0
5780,UTTAR PRADESH,MUZAFFARNAGAR,2008,40,112,28,39,74,258,0
5781,UTTAR PRADESH,PILIBHIT,2008,41,100,35,90,10,359,0
5782,UTTAR PRADESH,PRATAPGARH,2008,33,83,32,52,18,155,0
5783,UTTAR PRADESH,RAIBAREILLY,2008,38,51,33,43,44,90,0
5784,UTTAR PRADESH,RAMPUR,2008,46,83,21,46,17,4,0
5785,UTTAR PRADESH,SAHARANPUR,2008,8,25,23,23,66,153,0
5786,UTTAR PRADESH,SANT KABIRNAGAR,2008,9,40,7,5,18,12,0
5787,UTTAR PRADESH,SHAHJAHANPUR,2008,68,94,68,80,25,10,0
5788,UTTAR PRADESH,SHRAWASTI,2008,6,15,6,13,2,4,0
5789,UTTAR PRADESH,SIDHARTHNAGAR,2008,12,30,16,30,20,30,0
5790,UTTAR PRADESH,SITAPUR,2008,53,129,77,47,21,110,0
5791,UTTAR PRADESH,SONBHADRA,2008,26,24,20,38,37,30,0
5792,UTTAR PRADESH,ST.RAVIDASNAGAR,2008,2,9,11,2,6,16,0
5793,UTTAR PRADESH,SULTANPUR,2008,25,49,12,26,19,43,0
5794,UTTAR PRADESH,UNNAO,2008,36,69,52,50,26,61,0
5795,UTTAR PRADESH,VARANASI,2008,12,38,36,14,98,183,0
5796,UTTAR PRADESH,TOTAL,2008,1871,4439,2237,2955,3374,8312,0
6491,UTTAR PRADESH,AGRA,2009,40,185,83,97,85,381,0
6492,UTTAR PRADESH,ALIGARH,2009,58,214,54,109,48,294,0
6493,UTTAR PRADESH,ALLAHABAD,2009,38,126,70,59,51,289,0
6494,UTTAR PRADESH,AMBEDKAR NAGAR,2009,19,49,15,9,19,102,0
6495,UTTAR PRADESH,AURAIYA,2009,11,35,26,20,16,30,0
6496,UTTAR PRADESH,AZAMGARH,2009,17,64,31,26,31,83,0
6497,UTTAR PRADESH,BADAUN,2009,29,67,43,28,18,55,0
6498,UTTAR PRADESH,BAGHPAT,2009,15,45,16,6,20,72,0
6499,UTTAR PRADESH,BAHRAICH,2009,38,86,32,33,27,72,0
6500,UTTAR PRADESH,BALLIA,2009,9,25,31,19,9,53,0
6501,UTTAR PRADESH,BALRAMPUR,2009,8,23,10,11,6,34,0
6502,UTTAR PRADESH,BANDA,2009,23,32,24,42,11,44,0
6503,UTTAR PRADESH,BARABANKI,2009,19,106,39,34,50,104,0
6504,UTTAR PRADESH,BAREILLY,2009,77,153,47,125,96,303,0
6505,UTTAR PRADESH,BASTI,2009,12,22,15,3,0,12,0
6506,UTTAR PRADESH,BIJNOR,2009,30,75,22,46,44,225,0
6507,UTTAR PRADESH,BULANDSHAHAR,2009,38,81,53,36,24,184,0
6508,UTTAR PRADESH,CHANDOLI,2009,3,18,13,4,4,88,0
6509,UTTAR PRADESH,CHITRAKOOT DHAM,2009,20,10,9,22,1,12,0
6510,UTTAR PRADESH,DEORIA,2009,9,38,30,15,12,32,0
6511,UTTAR PRADESH,ETAH,2009,18,45,42,37,13,92,0
6512,UTTAR PRADESH,ETAWAH,2009,5,62,35,42,39,112,0
6513,UTTAR PRADESH,FAIZABAD,2009,22,69,18,27,21,38,0
6514,UTTAR PRADESH,FATEHGARH,2009,17,61,23,30,16,61,0
6515,UTTAR PRADESH,FATEHPUR,2009,28,44,38,39,13,51,0
6516,UTTAR PRADESH,FIROZABAD,2009,26,95,47,59,35,130,0
6517,UTTAR PRADESH,G.R.P.,2009,1,0,1,10,57,0,0
6518,UTTAR PRADESH,GAUTAMBUDH NAGAR,2009,24,60,22,40,46,103,0
6519,UTTAR PRADESH,GHAZIABAD,2009,53,321,66,88,182,556,0
6520,UTTAR PRADESH,GHAZIPUR,2009,3,16,29,12,22,63,0
6521,UTTAR PRADESH,GONDA,2009,29,74,42,28,12,3,0
6522,UTTAR PRADESH,GORAKHPUR,2009,43,94,50,44,47,255,0
6523,UTTAR PRADESH,HAMIRPUR,2009,16,18,20,21,9,22,0
6524,UTTAR PRADESH,HARDOI,2009,29,87,45,61,13,73,0
6525,UTTAR PRADESH,HATHRAS,2009,22,52,23,33,8,146,0
6526,UTTAR PRADESH,J.P.NAGAR,2009,26,36,16,21,39,69,0
6527,UTTAR PRADESH,JALAUN,2009,11,27,34,41,15,43,0
6528,UTTAR PRADESH,JAUNPUR,2009,18,68,47,30,25,136,0
6529,UTTAR PRADESH,JHANSI,2009,14,36,27,33,35,9,0
6530,UTTAR PRADESH,KANNAUJ,2009,8,48,25,28,8,85,0
6531,UTTAR PRADESH,KANPUR DEHAT,2009,17,82,22,34,16,113,0
6532,UTTAR PRADESH,KANPUR NAGAR,2009,40,227,73,109,210,551,0
6533,UTTAR PRADESH,KANSHIRAM NAGAR,2009,15,30,29,22,5,26,0
6534,UTTAR PRADESH,KAUSHAMBI,2009,15,30,27,49,12,86,0
6535,UTTAR PRADESH,KHIRI,2009,37,83,40,59,36,68,0
6536,UTTAR PRADESH,KUSHI NAGAR,2009,9,18,22,7,5,21,0
6537,UTTAR PRADESH,LALITPUR,2009,13,9,8,19,12,25,0
6538,UTTAR PRADESH,LUCKNOW,2009,56,306,53,178,256,664,0
6539,UTTAR PRADESH,MAHARAJGANJ,2009,17,28,17,12,13,38,0
6540,UTTAR PRADESH,MAHOBA,2009,11,22,17,26,6,15,0
6541,UTTAR PRADESH,MAINPURI,2009,16,64,36,38,20,30,0
6542,UTTAR PRADESH,MATHURA,2009,20,59,25,42,42,197,0
6543,UTTAR PRADESH,MAU,2009,15,46,10,22,31,60,0
6544,UTTAR PRADESH,MEERUT,2009,46,141,41,47,123,361,0
6545,UTTAR PRADESH,MIRZAPUR,2009,11,12,19,9,4,178,0
6546,UTTAR PRADESH,MORADABAD,2009,69,159,32,63,61,264,0
6547,UTTAR PRADESH,MUZAFFARNAGAR,2009,58,138,27,64,86,340,0
6548,UTTAR PRADESH,PILIBHIT,2009,15,56,27,37,15,186,0
6549,UTTAR PRADESH,PRATAPGARH,2009,22,73,27,35,12,99,0
6550,UTTAR PRADESH,RAIBAREILLY,2009,30,59,29,46,41,114,0
6551,UTTAR PRADESH,RAMPUR,2009,51,90,24,48,16,3,0
6552,UTTAR PRADESH,SAHARANPUR,2009,14,36,35,29,39,139,0
6553,UTTAR PRADESH,SANT KABIRNAGAR,2009,13,29,9,9,15,2,0
6554,UTTAR PRADESH,SHAHJAHANPUR,2009,43,105,54,53,16,11,0
6555,UTTAR PRADESH,SHRAWASTI,2009,8,23,9,27,4,28,0
6556,UTTAR PRADESH,SIDHARTHNAGAR,2009,9,29,14,23,6,20,0
6557,UTTAR PRADESH,SITAPUR,2009,61,144,75,74,47,84,0
6558,UTTAR PRADESH,SONBHADRA,2009,25,25,11,16,20,36,0
6559,UTTAR PRADESH,ST.RAVIDASNAGAR,2009,3,5,10,9,7,24,0
6560,UTTAR PRADESH,SULTANPUR,2009,16,63,28,35,35,60,0
6561,UTTAR PRADESH,UNNAO,2009,48,85,40,61,14,100,0
6562,UTTAR PRADESH,VARANASI,2009,10,35,29,12,72,107,0
6563,UTTAR PRADESH,TOTAL,2009,1759,5078,2232,2782,2524,8566,0
7269,UTTAR PRADESH,AGRA,2010,26,212,80,91,0,355,0
7270,UTTAR PRADESH,ALIGARH,2010,63,237,69,164,0,318,0
7271,UTTAR PRADESH,ALLAHABAD,2010,33,116,84,55,0,177,0
7272,UTTAR PRADESH,AMBEDKAR NAGAR,2010,20,56,18,14,0,98,0
7273,UTTAR PRADESH,AURAIYA,2010,11,40,17,19,0,36,0
7274,UTTAR PRADESH,AZAMGARH,2010,23,65,23,17,0,70,0
7275,UTTAR PRADESH,BADAUN,2010,22,69,48,49,0,41,0
7276,UTTAR PRADESH,BAGHPAT,2010,14,41,14,13,0,87,0
7277,UTTAR PRADESH,BAHRAICH,2010,25,127,42,40,1,83,0
7278,UTTAR PRADESH,BALLIA,2010,4,28,30,14,0,24,0
7279,UTTAR PRADESH,BALRAMPUR,2010,11,27,5,7,0,16,0
7280,UTTAR PRADESH,BANDA,2010,22,34,20,39,0,37,0
7281,UTTAR PRADESH,BARABANKI,2010,22,90,20,34,0,97,0
7282,UTTAR PRADESH,BAREILLY,2010,44,163,55,97,0,214,0
7283,UTTAR PRADESH,BASTI,2010,8,30,14,7,0,17,0
7284,UTTAR PRADESH,BIJNOR,2010,40,100,27,56,0,254,0
7285,UTTAR PRADESH,BULANDSHAHAR,2010,24,127,40,60,0,327,0
7286,UTTAR PRADESH,CHANDOLI,2010,3,12,15,6,0,67,0
7287,UTTAR PRADESH,CHITRAKOOT DHAM,2010,15,13,15,23,0,16,0
7288,UTTAR PRADESH,CSM NAGAR,2010,30,75,13,17,0,9,0
7289,UTTAR PRADESH,DEORIA,2010,4,18,21,4,0,9,0
7290,UTTAR PRADESH,ETAH,2010,11,60,30,45,0,72,0
7291,UTTAR PRADESH,ETAWAH,2010,4,44,29,19,0,81,0
7292,UTTAR PRADESH,FAIZABAD,2010,16,69,18,27,0,16,0
7293,UTTAR PRADESH,FATEHGARH,2010,11,55,24,26,0,30,0
7294,UTTAR PRADESH,FATEHPUR,2010,33,57,42,53,2,83,0
7295,UTTAR PRADESH,FIROZABAD,2010,18,78,54,33,0,83,0
7296,UTTAR PRADESH,G.R.P.,2010,1,6,3,20,0,0,0
7297,UTTAR PRADESH,GAUTAMBUDH NAGAR,2010,39,77,19,41,0,132,0
7298,UTTAR PRADESH,GHAZIABAD,2010,44,285,69,77,0,536,0
7299,UTTAR PRADESH,GHAZIPUR,2010,5,15,32,12,0,41,0
7300,UTTAR PRADESH,GONDA,2010,9,67,47,30,0,6,0
7301,UTTAR PRADESH,GORAKHPUR,2010,45,199,61,69,0,266,0
7302,UTTAR PRADESH,HAMIRPUR,2010,6,13,15,25,0,22,0
7303,UTTAR PRADESH,HARDOI,2010,20,73,24,50,0,55,0
7304,UTTAR PRADESH,HATHRAS,2010,24,60,30,45,0,107,0
7305,UTTAR PRADESH,J.P.NAGAR,2010,24,52,21,25,0,69,0
7306,UTTAR PRADESH,JALAUN,2010,5,28,23,28,0,32,0
7307,UTTAR PRADESH,JAUNPUR,2010,12,60,39,32,0,57,0
7308,UTTAR PRADESH,JHANSI,2010,9,32,32,43,1,7,0
7309,UTTAR PRADESH,KANNAUJ,2010,7,43,22,23,0,39,0
7310,UTTAR PRADESH,KANPUR NAGAR,2010,42,263,92,118,7,447,0
7311,UTTAR PRADESH,KANSHIRAM NAGAR,2010,10,35,26,23,0,28,0
7312,UTTAR PRADESH,KAUSHAMBI,2010,12,29,22,33,0,59,0
7313,UTTAR PRADESH,KHIRI,2010,26,80,37,37,0,33,0
7314,UTTAR PRADESH,KUSHI NAGAR,2010,11,25,25,13,0,12,0
7315,UTTAR PRADESH,LALITPUR,2010,7,9,8,17,0,17,0
