,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls
649,UTTAR PRADESH,VARANASI,2001,27,35,31,19,90,119,0
650,UTTAR PRADESH,TOTAL,2001,1958,2879,2211,2870,2575,7365,0
1295,UTTAR PRADESH,AGRA,2002,41,102,50,86,82,372,0
1296,UTTAR PRADESH,ALIGARH,2002,31,69,38,72,21,169,0
1297,UTTAR PRADESH,ALLAHABAD,2002,40,63,63,57,55,147,0
1298,UTTAR PRADESH,AMBEDKAR NAGAR,2002,10,34,16,16,11,30,0
1299,UTTAR PRADESH,AURAIYA,2002,10,17,29,20,4,42,0
1300,UTTAR PRADESH,AZAMGARH,2002,7,7,23,27,23,72,0
1301,UTTAR PRADESH,BADAUN,2002,31,46,44,48,5,63,0
1302,UTTAR PRADESH,BAGHPAT,2002,15,15,17,14,16,45,0
1303,UTTAR PRADESH,BAHRAICH,2002,14,17,16,10,8,0,0
1304,UTTAR PRADESH,BALLIA,2002,7,14,16,12,45,23,0
1305,UTTAR PRADESH,BALRAMPUR,2002,13,9,5,9,5,11,0
1306,UTTAR PRADESH,BANDA,2002,20,6,21,31,9,43,0
1307,UTTAR PRADESH,BARABANKI,2002,32,39,27,29,9,171,0
1308,UTTAR PRADESH,BAREILLY,2002,65,93,62,70,54,261,0
1309,UTTAR PRADESH,BASTI,2002,16,27,24,13,20,31,0
1310,UTTAR PRADESH,BIJNOR,2002,26,49,34,34,33,156,0
1311,UTTAR PRADESH,BULANDSHAHAR,2002,33,60,47,70,104,185,0
1312,UTTAR PRADESH,CHANDOLI,2002,6,6,14,11,8,24,0
1313,UTTAR PRADESH,CHITRAKOOT DHAM,2002,8,2,9,23,2,10,0
1314,UTTAR PRADESH,DEORIA,2002,5,18,15,10,10,18,0
1315,UTTAR PRADESH,ETAH,2002,37,49,81,43,15,85,0
1316,UTTAR PRADESH,ETAWAH,2002,12,21,25,32,11,32,0
1317,UTTAR PRADESH,FAIZABAD,2002,15,17,12,18,24,33,0
1318,UTTAR PRADESH,FATEHGARH,2002,9,25,32,0,0,0,0
1319,UTTAR PRADESH,FATEHPUR,2002,12,19,26,18,12,44,0
1320,UTTAR PRADESH,FIROZABAD,2002,26,51,36,37,46,105,0
1321,UTTAR PRADESH,G.R.P.,2002,2,4,0,11,31,0,0
